scorer,,,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan
bodyparts,,,Ground,Ground,Endpoint,Endpoint,hMax,hMax,vMax,vMax,Joint1,Joint1,Joint2,Joint2,Joint3,Joint3,Bone1,Bone1,Bone2,Bone2,predEndpoint,predEndpoint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2cmBones_run_no_9,img0014.png,710.7290472497681,244.3657784292173,529.656639935132,589.6587118392829,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,639.081827647103,280.26348017523406,552.961552551716,370.13369359685817,526.7996421656247,484.20818762426006,594.6784488617267,320.0733675353587,535.2223659222261,434.24759998257855,527.6571824148717,541.1070092519907
labeled-data,2cmBones_run_no_9,img0037.png,710.7290472497681,244.3657784292173,528.4322358631475,589.6587118392829,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,639.081827647103,280.9528299669567,552.961552551716,370.13369359685817,526.7996421656247,484.20818762426006,594.6784488617267,320.0733675353587,535.2223659222261,434.24759998257855,526.3656895154124,541.7527557017204
labeled-data,2cmBones_run_no_9,img0088.png,710.7290472497681,244.3657784292173,527.1071985499508,589.6587118392829,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,639.081827647103,280.9528299669567,552.961552551716,370.13369359685817,526.7996421656247,484.20818762426006,594.6784488617267,320.0733675353587,535.2223659222261,434.24759998257855,525.7199430656829,539.8155163525314
labeled-data,2cmBones_run_no_9,img0216.png,710.7290472497681,244.3657784292173,527.1071985499508,589.6587118392829,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,639.081827647103,280.9528299669567,552.961552551716,374.9591421389167,526.7996421656247,484.20818762426006,594.6784488617267,320.0733675353587,535.2223659222261,434.24759998257855,525.7199430656829,538.524023453072
labeled-data,2cmBones_run_no_9,img0432.png,710.7290472497681,244.3657784292173,527.1071985499508,589.6587118392829,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,639.081827647103,280.9528299669567,552.961552551716,374.2697923471941,526.7996421656247,484.20818762426006,594.6784488617267,320.0733675353587,533.1543165470582,431.1455259198266,525.0741966159533,539.8155163525314
labeled-data,2cmBones_run_no_9,img0751.png,710.7290472497681,244.3657784292173,539.4294985783266,594.7575946096454,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,639.081827647103,280.9528299669567,560.8890751565264,380.4739404726979,539.2735962181682,488.9709700806858,594.6784488617267,320.0733675353587,547.6306621732338,438.38369873291447,539.2806185100055,548.2102201990168
labeled-data,2cmBones_run_no_9,img0762.png,710.7290472497681,244.3657784292173,543.083137724505,596.0323153022359,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,640.1158523346869,284.3995789255699,563.3017994275557,381.5079651602819,539.2735962181682,488.9709700806858,596.4018233410334,324.2094662856946,547.6306621732338,438.38369873291447,536.697632711087,543.6899950509093
labeled-data,2cmBones_run_no_9,img0783.png,710.7290472497681,244.3657784292173,530.3694752123365,595.4368854731125,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,640.1158523346869,282.331529550402,561.2337500523877,377.371866409946,531.7892237866422,488.2905725869107,596.7464982368947,319.38401774363604,542.4605387353139,437.3496740453304,531.5316611132497,544.3357415006388
labeled-data,2cmBones_run_no_9,img0976.png,710.7290472497681,244.3657784292173,578.945840048635,603.6806394577795,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,645.2859757726067,285.0889287172926,581.9142438040672,384.6100392230338,569.2110859442727,496.45534251221187,602.9506463623985,329.7242646194758,572.4472546752492,448.3792707128929,573.505180345677,555.3134311460431
labeled-data,2cmBones_run_no_9,img1008.png,710.7290472497681,244.3657784292173,579.3707469461651,599.8564773800077,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,645.2859757726067,285.0889287172926,578.8121697413153,384.6100392230338,569.2110859442727,496.45534251221187,608.810119592041,329.7242646194758,572.4472546752492,448.3792707128929,574.1509267954066,552.0846988973947
labeled-data,2cmBones_run_no_9,img1201.png,710.7290472497681,244.3657784292173,555.388665546012,582.0271598906082,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,640.1158523346869,283.365554237986,569.5059475530595,378.40589109753,553.3292136533913,481.9908359763487,596.7464982368947,324.5541411815559,554.5241600904603,434.24759998257855,554.7785333035171,537.8782770033425
labeled-data,2cmBones_run_no_9,img1229.png,710.7290472497681,244.3657784292173,610.6936510524124,585.834549761511,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,642.8732515015774,283.365554237986,588.1183919295711,379.09524088925264,587.9986851971828,487.8622787377973,606.0527204251505,329.7242646194758,582.4428266552276,444.24317196255697,599.3350383348629,541.7527557017203
labeled-data,2cmBones_run_no_9,img1326.png,710.7290472497681,244.3657784292173,601.4659056177354,580.7356669911486,415.52542575492754,247.4084209146426,702.3584485965193,594.2519737409318,645.2859757726067,285.0889287172926,580.8802191164832,379.09524088925264,580.4496873610346,483.6683910510483,609.0675878039164,323.91254657190893,577.617378113169,438.38369873291447,589.6488415889181,534.0037983049646
