scorer,,,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan
bodyparts,,,Ground,Ground,Endpoint,Endpoint,hMax,hMax,vMax,vMax,Joint1,Joint1,Joint2,Joint2,Joint3,Joint3,Bone1,Bone1,Bone2,Bone2,predEndpoint,predEndpoint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,4cmBones_run_no_1,img0049.png,,,316.85199884179593,446.7917671098145,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,487.98490869266715,230.40243263348322,393.3454296389881,323.477596092761,550.9197570269198,188.43997242739977,435.22932581158784,274.7076970955555,348.72551883829476,382.88505868877087
labeled-data,4cmBones_run_no_1,img0275.png,,,316.85199884179593,446.7917671098145,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,487.98490869266715,230.40243263348322,393.3454296389881,323.477596092761,550.9197570269198,188.43997242739977,433.9546051189972,274.7076970955555,352.5999975366726,380.94781933958194
labeled-data,4cmBones_run_no_1,img0368.png,,,316.85199884179593,446.7917671098145,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,487.98490869266715,228.46519328429426,393.3454296389881,323.477596092761,550.9197570269198,188.43997242739977,433.9546051189972,274.7076970955555,354.53723688586155,380.947819339582
labeled-data,4cmBones_run_no_1,img0378.png,,,316.85199884179593,446.7917671098145,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,487.98490869266715,224.59071458591634,393.3454296389881,327.30175817053276,550.9197570269198,188.43997242739977,433.9546051189972,274.7076970955555,353.8914904361319,382.88505868877087
labeled-data,4cmBones_run_no_1,img0380.png,,,323.13777839000267,453.0775466580212,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,488.5971107286594,229.07739532028648,393.3454296389881,324.7523167853516,550.9197570269198,190.01141731445145,433.9546051189972,274.7076970955555,358.41171558423946,386.75953738714884
labeled-data,4cmBones_run_no_1,img0535.png,,,327.85211305115774,454.64899154507293,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,491.1465521138406,231.6268367054677,395.8948710241693,326.02703747794214,555.6340916880749,190.01141731445145,436.5040465041784,279.80657986591785,360.34895493342844,384.82229803795985
labeled-data,4cmBones_run_no_1,img0890.png,,,329.4235579382094,459.36332620622795,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,491.1465521138405,231.6268367054677,398.44431240935046,334.9500823260763,555.6340916880749,193.15430708855482,436.5040465041784,283.6307419436896,362.28619428261743,386.11379093741914
labeled-data,4cmBones_run_no_1,img0938.png,,,326.28066816410603,456.22043643212453,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,492.4212728064312,231.62683670546767,398.44431240935046,328.5764788631234,552.4912019139715,196.2971968626582,436.5040465041784,283.6307419436896,360.34895493342844,386.75953738714884
labeled-data,4cmBones_run_no_1,img0988.png,,,326.28066816410603,456.22043643212453,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,493.0837914630295,231.6771533260738,397.16959171675984,332.4006409408952,552.4912019139715,193.15430708855482,437.778767196769,282.35602125109904,357.7659691345098,386.11379093741914
labeled-data,4cmBones_run_no_1,img1155.png,,,315.2805539547442,440.50598756160775,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,489.25962938525777,225.30354986312085,395.2323523675709,317.6658780451941,550.9197570269198,191.58286220150313,433.9546051189972,270.8835350177837,351.95425108694303,375.1361012920151
labeled-data,4cmBones_run_no_1,img1202.png,,,327.85211305115774,453.0775466580212,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,494.35851215562013,231.6771533260738,395.8948710241691,326.02703747794203,552.4912019139715,190.01141731445145,437.778767196769,275.55751089061584,362.2861942826174,382.8850586887709
labeled-data,4cmBones_run_no_1,img1375.png,,,323.13777839000267,445.2203222227628,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,493.0837914630295,227.85299124830203,397.1695917167597,320.92815470757967,553.6968523388861,186.13693861607356,437.778767196769,273.43297640296487,358.41171558423946,380.94781933958194
labeled-data,4cmBones_run_no_1,img1577.png,,,334.1378925993645,454.64899154507293,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,493.0837914630295,235.50131540384558,402.2684744871221,327.3017581705326,555.6340916880749,193.15430708855482,442.8776499671314,278.53185917332723,370.0351516793732,391.27976253525634
labeled-data,4cmBones_run_no_1,img1762.png,,,330.9950028252611,449.9346568839178,397.3630363589295,120.32890654244223,641.3899474811856,528.9862332754021,624.2322805650813,159.24774707922754,494.35851215562013,230.40243263348322,402.2684744871221,324.75231678535147,554.0626468010232,194.72575197560653,442.8776499671314,274.7076970955555,364.22343363180636,384.82229803795985
