scorer,,,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan
bodyparts,,,Ground,Ground,Endpoint,Endpoint,hMax,hMax,vMax,vMax,Joint1,Joint1,Joint2,Joint2,Joint3,Joint3,Bone1,Bone1,Bone2,Bone2,predEndpoint,predEndpoint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2_0,img0209.png,932.3777465820312,82.13174438476562,434.2004699707031,252.26393127441406,,,813.1887817382812,585.8392944335938,863.9833984375,89.97979736328125,705.6714477539062,120.08308410644531,556.6622924804688,179.8294677734375,790.3193588017112,98.84222024646549,628.945068359375,143.87728881835938,491.855712890625,214.24502563476562
labeled-data,2_0,img0267.png,917.2432861328125,82.67552947998047,427.05731201171875,236.85421752929688,,,803.20947265625,593.0640869140625,851.7462654233632,87.8920478221491,695.9174194335938,111.98858642578125,547.29833984375,168.09341430664062,777.8887329101562,96.0291976928711,619.9649047851562,132.7592315673828,481.5907897949219,203.50634765625
labeled-data,2_0,img0268.png,917.2235107421875,83.78034973144531,427.2754821777344,236.10580444335938,,,802.76513671875,593.5283203125,850.62646484375,91.2004623413086,696.126953125,112.3873519897461,547.5936279296875,168.12704467773438,777.3983154296875,97.08612060546875,620.1406860351562,133.49517822265625,481.9539489746094,203.42684936523438
labeled-data,2_0,img0269.png,916.9589233398438,85.17525482177734,427.7373962402344,236.56983947753906,,,802.2113037109375,594.4346923828125,850.5608520507812,92.85256958007812,696.3836669921875,112.95953369140625,547.3805541992188,168.7421112060547,775.4495696542036,96.63021465520352,619.90625,133.85816955566406,482.02215576171875,203.27880859375
labeled-data,2_0,img0272.png,915.525390625,86.60987091064453,426.16351318359375,236.3621063232422,,,800.96337890625,595.2963256835938,848.7720947265625,94.62767028808594,694.6766967773438,113.9521484375,545.2258911132812,167.67466735839844,776.2332763671875,100.334716796875,619.0296630859375,133.8886260986328,480.80267333984375,201.1868438720703
labeled-data,2_0,img0273.png,915.2129516601562,86.56097412109375,425.78375244140625,236.39407348632812,,,800.8497924804688,595.129150390625,848.1441040039062,93.55215454101562,693.981689453125,113.58483123779297,545.2182006835938,167.40853881835938,775.626953125,99.88748931884766,619.0123291015625,133.4554443359375,480.5555419921875,200.8462371826172
labeled-data,2_0,img0274.png,914.7993774414062,86.20304107666016,425.8546447753906,235.4260711669922,,,800.9618530273438,594.6002807617188,847.824462890625,92.9580078125,694.1561889648438,112.43058776855469,544.8648071289062,165.75076293945312,775.6871948242188,99.30743408203125,619.2521362304688,132.37611389160156,482.5286560058594,199.5870361328125
labeled-data,2_0,img0276.png,914.8619384765625,86.163330078125,424.82879638671875,235.09422302246094,,,801.28076171875,594.909912109375,848.3225708007812,92.74957275390625,694.2308349609375,112.22355651855469,544.6758422851562,165.1322021484375,776.2659301757812,99.32160186767578,619.6381225585938,131.55291748046875,482.13800048828125,199.0091094970703
labeled-data,2_0,img0277.png,914.460693359375,86.06774139404297,425.20758056640625,235.37672424316406,,,801.2648315429688,594.9641723632812,847.545654296875,93.06553649902344,694.0310668945312,112.61383056640625,544.3910522460938,165.0120391845703,775.849365234375,99.19261169433594,619.4113159179688,131.74755859375,482.2399597167969,199.04164123535156
labeled-data,2_0,img0280.png,912.7762451171875,86.26165008544922,423.8265380859375,230.74827575683594,,,799.0665893554688,595.4844360351562,846.8014526367188,93.16002655029297,691.9803466796875,111.59122467041016,541.6857299804688,164.21701049804688,774.25634765625,96.62831873867631,617.154296875,130.99537658691406,479.50315975015593,197.60031728746839
labeled-data,2_0,img0281.png,912.548828125,85.90005493164062,422.8567199707031,234.8489227294922,,,798.7723999023438,595.5447998046875,846.3773803710938,93.05608367919922,691.5286865234375,111.04434204101562,541.7904052734375,163.9524688720703,773.608642578125,98.69122314453125,616.8834228515625,130.69435119628906,476.84176749029706,200.74413907569416
labeled-data,2_0,img0282.png,912.1801147460938,86.29766845703125,422.5706787109375,234.8529052734375,,,799.12109375,595.5828857421875,845.7424926757812,93.419921875,691.2677001953125,111.30226135253906,541.7070922851562,164.15054321289062,773.4144897460938,98.96925354003906,616.7245483398438,131.05612182617188,475.5415584209145,198.2965796590737
labeled-data,2_0,img0294.png,912.58154296875,89.67081451416016,423.3555603027344,238.89163208007812,,,801.630615234375,598.724365234375,845.08203125,96.74815368652344,692.4404296875,113.6478500366211,541.7591552734375,169.2030487060547,773.267616295945,100.07896416148125,616.7283325195312,135.6635284423828,479.27777099609375,202.65158081054688
